ID,Process_Title,Process_Platform,Refresh_Schedule,Process_Status,Comments,L0_Process,MSA_Owned,Compliance,FinalTable_DB,Data_Hierarchy_ID,Process_Description,Github_Link,UpdatedDate_Compliance,Modified,Modified By
215,dnb mANDa activity,3,Bi-Weekly,TRUE,,TRUE,TRUE,Good,9,251,Mergers & acquisitions activity from D&B.,NA,,1/18/2024 6:11 AM,"Durairaj, Prabhu"
216,dnb worldbase,8,Monthly,TRUE,,TRUE,TRUE,Good,9,251,Worldbase foundational table for demographics,NA,,1/18/2024 6:12 AM,"Durairaj, Prabhu"
217,datamart web module 1,3,Daily,TRUE,Original Process Title was: datamart web module,FALSE,FALSE,Broken,9,232,Web module process from Aprimo activity data.,https://github.hpe.com/hpe/osrm/blob/main/code/WebModule.sql,2/15/2024,2/15/2024 5:07 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
218,datamart web module 2,3,Daily,TRUE,Original Process Title was: datamart: web module,TRUE,FALSE,Good,9,240,Summary of web activity for DataMart,NA,,1/18/2024 6:13 AM,"Durairaj, Prabhu"
219,db buyer intent,3,Weekly,TRUE,,TRUE,TRUE,Good,9,251,Buyer Intent data from D&B.,NA,,1/18/2024 6:14 AM,"Durairaj, Prabhu"
220,dbo tbl cancelled detail ww,14,Weekly,TRUE,Original Process Title was: dbo.tbl_cancelled_detail_ww,TRUE,FALSE,Good,13,294,Not Yet Added,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
221,dnb gca,16,Monthly,TRUE,,TRUE,TRUE,Good,15,251,DnG GCA with LiveRamp,NA,,1/18/2024 6:15 AM,"Durairaj, Prabhu"
222,dnb profound,8,Quarterly,TRUE,,TRUE,TRUE,Good,9,242,Intent data can make account-based sales and marketing campaigns more effective,https://github.hpe.com/vishruth-muthyala/DnB_Intent,,1/22/2024 3:18 AM,"G, Sreejith (Global Marketing Analytics(GMA))"
223,dnb intent2ptb,3,Monthly,TRUE,,TRUE,TRUE,Good,9,242,Intent data can make account-based sales and marketing campaigns more effective,https://github.hpe.com/vishruth-muthyala/DnB_Intent,,1/22/2024 3:17 AM,"G, Sreejith (Global Marketing Analytics(GMA))"
224,dvi topics2ptb,3,Monthly,TRUE,,TRUE,TRUE,Good,9,294,Not Yet Added,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
225,eap party fact,8,Weekly,TRUE,NA,TRUE,TRUE,Good,9,266,Party ID EMDM Master Data copy from EAP to Vertica,NA,,12/13/2023 6:53 AM,"Agarwal, Tarun Kumar"
226,edw geo hierarchy,8,Daily,TRUE,,TRUE,FALSE,Good,9,265,Geo hierarchy from EDW.,NA,,1/18/2024 6:16 AM,"Durairaj, Prabhu"
227,edw working pnl monthly aggregate,8,Daily,TRUE,,TRUE,FALSE,Good,9,276,"Transactional data summed at Cust_ID, SKU, month",NA,,1/18/2024 6:17 AM,"Durairaj, Prabhu"
230,egig app frank aprimo act integrated campaigns d1,8,Weekly,TRUE,Original Process Title was: egig_app_frank.aprimo_act_integrated_campaigns_d1,TRUE,FALSE,Good,9,232,It provides the Activity ID mapped to the Integrated Campaign.,NA,,1/21/2024 10:14 AM,"Ali, Mohd Yusuf"
237,egig app frank aprimo ic strategic alignment mc,8,Weekly,TRUE,Original Process Title was: egig_app_frank.aprimo_ic_strategic_alignment_mc,TRUE,FALSE,Good,9,232,Campaign Business Unit & Business Group,NA,,1/21/2024 10:19 AM,"Ali, Mohd Yusuf"
246,egig app frank emig data equipment,8,Weekly,FALSE,This process no more exist,TRUE,FALSE,NA,9,242,Need to check the data existence,NA,1/22/2024,1/22/2024 3:22 AM,"G, Sreejith (Global Marketing Analytics(GMA))"
247,egig app frank emig data site,8,Weekly,FALSE,Process don't exist,TRUE,FALSE,NA,9,242,Process don't exist,NA,1/22/2024,2/15/2024 5:20 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
249,hg it spend Frank,8,Weekly,TRUE,Original Process Title was: egig_app_frank.hg_it_spend,TRUE,FALSE,Good,9,242,The ultimate business to business market forecast for current annual year,NA,,1/22/2024 3:26 AM,"G, Sreejith (Global Marketing Analytics(GMA))"
250,Intrado user discover2020,8,Weekly,TRUE,Original Process Title was: egig_app_frank.intrado_user_discover2020,TRUE,FALSE,Good,9,249,"Discover 2020 - Presentation viewed, Survey question responses, Attended event, Registration Event information",NA,,1/21/2024 9:43 PM,"K Nagaraj, Kirubakaran"
251,Intrado user events discover2020,8,Weekly,TRUE,Original Process Title was: egig_app_frank.intrado_user_events_discover2020,TRUE,FALSE,Good,9,249,"Discover 2020 - Presentation viewed, Survey question responses, Attended event, Registration Event information",NA,,1/21/2024 9:45 PM,"K Nagaraj, Kirubakaran"
256,egig app frank relq asset name,8,Weekly,TRUE,Original Process Title was: egig_app_frank.relq_asset_name,TRUE,FALSE,Good,9,232,It has the Assets produced from Aprimo process.,NA,,1/21/2024 10:30 AM,"Ali, Mohd Yusuf"
271,fips mapping table,8,Weekly,TRUE,,TRUE,FALSE,Good,9,251,Mapping of FIPS country code.,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
272,fortune 1000 ranking,8,Monthly,TRUE,,TRUE,TRUE,Good,9,251,Fortune-1000 ranking,NA,,1/18/2024 6:18 AM,"Durairaj, Prabhu"
273,gl customers quarterly,3,Monthly,TRUE,Original Process Title was: gl_customers_quarterly,TRUE,TRUE,Good,9,274,Greenlake New Customer List Flag sourced from Ranjan's team GL Team,NA,2/15/2024,2/15/2024 5:15 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
274,gl orders data prep,3,Quarterly,FALSE,Original Process Title was: gl_orders_data_prep,TRUE,TRUE,NA,9,294,Not Yet Added,NA,1/19/2024,1/19/2024 2:20 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
275,gl orders data 1,3,Quarterly,FALSE,Original Process Title was: gl_orders_data-1,TRUE,TRUE,NA,9,294,Not Yet Added,NA,1/19/2024,1/19/2024 2:19 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
276,gl profit centre,8,Yearly,TRUE,Original Process Title was: gl_profit_centre,TRUE,TRUE,Good,9,294,Not Yet Added,NA,,1/19/2024 2:21 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
277,google search console data,16,Weekly,TRUE,Vendor contact: rblackaller@msights.com; edwin.ng@msights-support.intercom-mail.com,TRUE,TRUE,Good,14,291,Google Search Console Data from Msight (Natural/Organic Search),https://github.hpe.com/schandra/insights_driven_marketing/tree/main/dml_idm_dev/media,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
278,historical sales stage table,8,Weekly,FALSE,IT is not updating this table.,TRUE,FALSE,NA,9,236,Historical Sales Stage Table from BIA Central,NA,2/23/2024,2/23/2024 7:47 AM,"Varghese, Dies P"
279,historical sales stage table view,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Historical Sales Stage Table View from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
280,hpcom omni hit v,8,Daily,FALSE,Original Process Title was: hpcom.omni_hit_v,TRUE,FALSE,NA,8,240,Adobe CSDB table,NA,2/15/2024,2/15/2024 5:07 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
281,hpcom usr bs recency frequency avg,8,Weekly,TRUE,Original Process Title was: hpcom_usr.bs_recency_frequency_avg,TRUE,FALSE,Good,8,294,Not Yet Added,NA,,1/22/2024 8:29 AM,"Agarwal, Tarun Kumar"
282,hpcom usr compatibility data,8,Weekly,TRUE,Original Process Title was: hpcom_usr.compatibility_data,TRUE,FALSE,Good,8,294,Not Yet Added,NA,,1/22/2024 9:00 AM,"Agarwal, Tarun Kumar"
283,hpcom usr dvi3 adobe clicks categorized,8,Weekly,TRUE,Original Process Title was: hpcom_usr.dvi3_adobe_clicks_categorized,TRUE,FALSE,Good,8,294,Not Yet Added,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
284,hpcom usr dvi3 adobe visitor stid combined,8,Weekly,TRUE,Original Process Title was: hpcom_usr.dvi3_adobe_visitor_stid_combined,TRUE,FALSE,Good,8,294,Not Yet Added,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
285,hpcom usr sv country lang discover flagged,8,Daily,FALSE,Original Process Title was: hpcom_usr.sv_country_lang_discover_flagged,TRUE,TRUE,NA,8,294,Not Yet Added,NA,1/22/2024,1/22/2024 9:04 AM,"Agarwal, Tarun Kumar"
287,ib units and options data,8,Weekly,TRUE,,TRUE,FALSE,Good,9,260,IBSV Units Data,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
288,ibsv customer hierarchy table,8,Weekly,TRUE,,TRUE,FALSE,Good,9,260,IBSV Customer Hierarchy Table,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
289,ibsv product hierarchy table,8,Weekly,TRUE,,TRUE,FALSE,Good,9,260,IBSV Product Hierarchy Table,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
290,info sight daily,4,Daily,TRUE,Original Process Title was: info_sight_daily,TRUE,FALSE,Good,9,261,Not Yet Added,https://github.hpe.com/Marketing-DataScience-Modelling/art.git,,3/21/2024 6:47 AM,"Agarwal, Tarun Kumar"
291,iso code,8,Weekly,TRUE,,TRUE,FALSE,Good,9,277,ISO Code from HPE IT Table,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
293,lead association reference table,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Lead Association Reference Table from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
294,lead fact table,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Lead Fact Table from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
295,lead opportunity linkage,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Lead Opportunity Linkage from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
296,legacy edw customer hierarchy,8,Weekly,TRUE,,TRUE,FALSE,Good,9,265,The legacy customer ID hierarchy including name and address,NA,,1/18/2024 6:19 AM,"Durairaj, Prabhu"
297,legacy egi rz custid to opsi mapping,8,Yearly,FALSE,,TRUE,TRUE,NA,9,265,Legacy mapping table: cust ID to OPSI Instance.,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
298,legacy mdm stid hierarchy,8,Weekly,FALSE,,TRUE,FALSE,NA,9,265,Legacy MDM hierarchy at STID level.,NA,10-06-2023,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
299,legacy to party mapping,8,Weekly,TRUE,,TRUE,TRUE,Good,9,294,Not Yet Added,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
300,line item level opportunity,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Line Item Level Opportunity from BIA Central,NA,,1/18/2024 6:20 AM,"Durairaj, Prabhu"
301,line item level opportunity view,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Line Item Level Opportunity View from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
302,losing parties,8,Weekly,TRUE,,TRUE,TRUE,Good,9,294,Not Yet Added,NA,,1/22/2024 8:43 AM,"Agarwal, Tarun Kumar"
303,mdm excel file copied to vertica,8,Daily,TRUE,,TRUE,TRUE,Good,9,266,Valid Sales Territory ID's from MDM Team,NA,,1/18/2024 6:21 AM,"Durairaj, Prabhu"
304,mg iso mapping,3,Weekly,TRUE,Original Process Title was: mg_iso_mapping,TRUE,TRUE,Good,9,294,Not Yet Added,NA,,12-05-2023 00:12,"Muthyala, Vishruth (Global Marketing Analytics)"
305,mru description,8,Daily,TRUE,It is a stand alone table in the process of building the Aprimo Datamart,TRUE,FALSE,Good,9,232,MRU description table from Aprimo,NA,,1/21/2024 11:27 PM,"Ali, Mohd Yusuf"
306,naics industry mapping,8,Monthly,TRUE,,TRUE,TRUE,Good,9,251,NAICS industry code by site,NA,,1/18/2024 6:23 AM,"Durairaj, Prabhu"
307,opportunity campaign combined,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Opportunity Campaign Combined from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
308,opportunity combined fact table,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Opportunity Combined Fact Table from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
309,opportunity combined table,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Opportunity Combined Table from BIA Central,NA,,1/18/2024 6:24 AM,"Durairaj, Prabhu"
310,opportunity combined view,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Opportunity Combined View from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
311,opportunity competitor table,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Opportunity Competitor Table from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
312,opportunity coverage combined,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Opportunity Coverage Combined from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
313,opportunity fact table,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Opportunity Fact Table from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
314,EComm Orbit Data,5,Weekly,TRUE,Original Process Title was: orbitdbo.v_order_detail_raw_data_ww,TRUE,FALSE,Good,18,272,Ecomm Data,NA,,1/19/2024 2:57 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
315,paid media classification table raw data,16,More than once a week,TRUE,Vendor contact: rblackaller@msights.com; edwin.ng@msights-support.intercom-mail.com,TRUE,TRUE,Good,14,291,Paid media classification table Raw Data from Msight,https://github.hpe.com/schandra/insights_driven_marketing/tree/main/dml_idm_dev/media,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
316,paid media raw data,16,More than once a week,TRUE,Vendor contact: rblackaller@msights.com; edwin.ng@msights-support.intercom-mail.com,TRUE,TRUE,Good,14,291,Paid media Raw Data from Msight,https://github.hpe.com/schandra/insights_driven_marketing/tree/main/dml_idm_dev/media,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
317,party hierarchy,8,Weekly,TRUE,,TRUE,TRUE,Good,9,294,Not Yet Added,NA,,1/22/2024 8:44 AM,"Agarwal, Tarun Kumar"
318,party to mdcp mapping,8,Weekly,TRUE,,TRUE,TRUE,Good,9,294,Not Yet Added,NA,,1/22/2024 8:43 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
319,pipeline customer hierarchy,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Pipeline Customer Hierarchy from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
320,pipeline geo hierarchy,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Pipeline Geo Hierarchy from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
321,pipeline line item level data,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Pipeline Line Item Level Data,NA,,2/28/2024 12:21 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
322,pipeline source,8,More than once a day,TRUE,,TRUE,FALSE,Good,13,294,Not Yet Added,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
323,product hierarchy,8,Weekly,TRUE,,TRUE,FALSE,Good,9,280,Product Hierarchy from EDW Pro,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
324,product line item,8,Weekly,TRUE,,TRUE,FALSE,Good,9,277,Product Line Item from HPE IT Table,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
325,profit center hierarchy,8,Weekly,TRUE,,TRUE,FALSE,Good,9,277,Profit Center Hierarchy from HPE IT Table,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
326,related opportunity table,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Related Opportunity Table from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
327,route to market,8,Weekly,TRUE,,TRUE,FALSE,Good,9,277,Route to Market from HPE IT Table,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
328,sales campaign detail table,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Sales Campaign Detail Table from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
329,sales campaign fact table,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Sales Campaign Fact Table from BIA Central,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
330,sales channel,8,Daily,TRUE,,TRUE,TRUE,Good,9,276,Sales Channel code and mapping,NA,,1/18/2024 6:25 AM,"Durairaj, Prabhu"
331,sales opportunity combined fact table,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Sales Opportunity Combined Fact Table from BIA Central,NA,,1/18/2024 6:26 AM,"Durairaj, Prabhu"
332,sales roster anaplan,3,Daily,TRUE,,TRUE,TRUE,Good,9,231,Not Yet Added,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
333,seo raw data for organic search,16,Monthly,TRUE,,TRUE,TRUE,Good,15,291,search engine optimization Raw data for Natural/Organic Search,NA,,1/18/2024 6:30 AM,"Durairaj, Prabhu"
334,site instance hierarchy,8,Weekly,TRUE,,TRUE,FALSE,Good,9,236,Site Instance Hierarchy from BIA Central,NA,,1/18/2024 6:31 AM,"Durairaj, Prabhu"
335,ultimate duns domain mapping,8,Monthly,TRUE,,FALSE,TRUE,Good,9,251,Temporary table holding domains at UDUNS level,NA,,1/18/2024 8:12 AM,"Durairaj, Prabhu"
336,vendor mapping from aprimo,8,Weekly,TRUE,It is a island table in the process of building Aprimo Datamart.,TRUE,FALSE,Good,9,232,Vendor mapping from Aprimo,NA,,1/21/2024 11:28 PM,"Ali, Mohd Yusuf"
337,winning parties,8,Weekly,TRUE,,TRUE,TRUE,Good,9,294,Not Yet Added,NA,,1/22/2024 8:44 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
338,working pANDl,8,Weekly,TRUE,,TRUE,FALSE,Good,9,277,Working P&L from HPE IT Table,Not Yet Added,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
339,dve2020 recommendations,6,Daily,FALSE,GitHub link - Not Available,FALSE,TRUE,Broken,9,249,Discover 2020 recommendations,NA,10-06-2023,2/28/2024 12:18 AM,"Muthyala, Vishruth (Global Marketing Analytics)"
340,leads aprimo datamart,3,Daily,TRUE,Github Link - Not Yet Added,FALSE,TRUE,Good,9,232,Loading Leads data from Frank Aprimo  into GMA Data mart.,NA,,1/18/2024 6:34 AM,"Durairaj, Prabhu"
341,Pipeline Table,3,Daily,TRUE,Github Link : Not Yet Added,FALSE,TRUE,Good,9,236,Data from biacentral pipelinesource,NA,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
342,party info aggregate,3,Weekly,TRUE,,FALSE,TRUE,Good,9,266,Aggregate table of Party ID info from EAP.,https://github.hpe.com/hpe/osrm/blob/main/code/EAP_Customer_Hierarchy.sql,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
343,poi,8,More than once a day,TRUE,Github Link : Not Yet Added,FALSE,TRUE,Good,11,294,Not Yet Added,NA,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
344,expired ib contract units,3,Weekly,TRUE,GitHub Link Not Yet Added,FALSE,TRUE,Good,9,260,Expired IB Contracts,NA,,10/18/2023 2:44 AM,"B, Vinutha (Global Marketing Analytics(GMA))"
345,persona labelling automation,14,Weekly,TRUE,Github Link - Not Yet Added,FALSE,TRUE,Good,9,279,Identify HPE marketing personas for the contacts based on their job titles.,https://github.hpe.com/Marketing-DataScience-Modelling/persona_labelling_automation,,01-05-2024 13:40,"Zhang, Lili"
